[2025-03-31 11:17:31] info: 	z2m: Logging to console, file (filename: log.log)
[2025-03-31 11:17:31] info: 	z2m: Starting Zigbee2MQTT version 1.41.0 (commit #cc31cea)
[2025-03-31 11:17:31] info: 	z2m: Starting zigbee-herdsman (2.1.7)
[2025-03-31 11:17:31] error: 	zh:zstack:znp: Failed to determine if path is valid: 'Error: ENOENT: no such file or directory, lstat '/dev/ttyACM0''
[2025-03-31 11:17:32] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2025-03-31 11:17:32] error: 	z2m: Error while starting zigbee-herdsman
[2025-03-31 11:17:32] error: 	z2m: Failed to start zigbee
[2025-03-31 11:17:32] error: 	z2m: Check https://www.zigbee2mqtt.io/guide/installation/20_zigbee2mqtt-fails-to-start.html for possible solutions
[2025-03-31 11:17:32] error: 	z2m: Exiting...
[2025-03-31 11:17:32] error: 	z2m: Error: Error: No such file or directory, cannot open /dev/ttyACM0
